"corpus_sizes","agx","ava","kum","rut","dar","tab","lak","lez","nog","tkr","arch","khv"
15022,0.276510326692939,0.35203448895898,0.296357792866788,0.277144570763422,0.437029629031887,0.346030225745476,0.307793427075999,0.284940971634272,0.263745908374729,0.326487040803425,0.324938455227172,0.321570396543944
15109,0.275754718110953,0.351335500052679,0.295742507970736,0.276495728413192,0.436358219011725,0.34534016791761,0.307145165672628,0.284310263925775,0.262987718679972,0.325753610621289,0.324197439104154,0.320845090703526
15285,0.274241077575806,0.349935676214897,0.294510483949451,0.275196383076348,0.435011934065519,0.34395775893548,0.305846692531467,0.28304766433061,0.261469167434244,0.324283664094889,0.322712334134606,0.319391438791246
16014,0.268175534962108,0.344331141503942,0.289580069340743,0.269994931992918,0.429599020996837,0.338416664586768,0.300644786774046,0.277998999120389,0.255387498695325,0.318383155001149,0.316751599997202,0.313556499048313
16148,0.267094801420478,0.343333306251112,0.288702641715144,0.269069010607137,0.428631464022044,0.337429071129113,0.299718112229119,0.277101219645575,0.254304502063006,0.317330094152109,0.315687898004409,0.312515168086474
16505,0.264264754438859,0.340721310346505,0.286406389370224,0.266645499805492,0.426093195296076,0.334842380198866,0.297291651171851,0.274752701138778,0.251469425999502,0.314569957423525,0.312900028310888,0.309785817060429
16592,0.263585669565825,0.340094745293017,0.285855685040838,0.266064202602087,0.425483121776467,0.334221561793642,0.296709433939239,0.274189676571232,0.250789329833254,0.313907090560764,0.312230535675802,0.309130352543311
16623,0.263344680292266,0.339872411373642,0.285660281182386,0.265857937021268,0.4252665284495,0.334001236981146,0.296502822011453,0.273989921177279,0.250548000042085,0.313671804209126,0.311992900733593,0.308897694514376
17313,0.258110223006505,0.335045223288479,0.281419236562139,0.26138033661258,0.420549533959661,0.329213791858982,0.292015106606261,0.269657020115098,0.245308558426283,0.30855431976881,0.306824761891716,0.303837486900762
19433,0.24341977534806,0.321511960366752,0.269544267274383,0.248836096418385,0.407175893693577,0.315752634039137,0.279415069557922,0.257551481309606,0.230630095131977,0.294117362327325,0.292249553381112,0.289563318199538
19590,0.242406635419564,0.320578989258497,0.268726444363543,0.247971888063468,0.406245697587145,0.314822512186483,0.278545466032065,0.256719240672516,0.229619272756668,0.293117379898764,0.291240263752033,0.28857468107256
19972,0.239980673189189,0.318344984357678,0.266768601455217,0.245902886292874,0.40401396865917,0.312594225069767,0.276462705857583,0.254727655309854,0.227199679731753,0.290720529943205,0.288821254230299,0.286205063147241
20098,0.239192376769799,0.317619046175019,0.266132535612458,0.245230675579402,0.403287439282138,0.311869809937421,0.27578576729947,0.254080862503811,0.226413704714799,0.28994095710479,0.288034519790624,0.285434359362348
20112,0.23910514594122,0.317538714893884,0.266062153515891,0.245156293095624,0.403207002374233,0.311789637113102,0.275710853841667,0.254009300550379,0.226326738422331,0.289854669191144,0.287947440580384,0.285349053491287
20297,0.237959097710709,0.316483293898084,0.265137523330051,0.244179093244894,0.402149448450562,0.310736111558242,0.274726532993196,0.253069301873806,0.225184308140387,0.288720591719986,0.2868029890944,0.284227889682002
20923,0.234170278939021,0.312993692224944,0.262081357502178,0.240948993431445,0.398642900112184,0.307250315929808,0.271470953071934,0.24996408475658,0.221409359987521,0.284965741481867,0.283014140231782,0.280515886144579
21869,0.228691375669446,0.307945630616209,0.257663027550198,0.236278886652814,0.393543238084987,0.30220110648422,0.26675861923128,0.245479610466962,0.215955847456219,0.279520236779128,0.277520308791185,0.275132774367716
22192,0.226884669916592,0.306280297957382,0.256206152737225,0.234738955581854,0.391853801389768,0.300533679133647,0.2652033346358,0.244002170306249,0.214158938447143,0.277720326996182,0.275704688470962,0.273353555593342
